11,2019/5/12,FC東京,磐田,1,0,0,1,0,0
11,2019/5/12,清水,川崎F,0,4,0,0,2,2
11,2019/5/12,神戸,鹿島,0,1,0,0,1,0
11,2019/5/12,名古屋,浦和,2,0,2,0,0,0
11,2019/5/12,湘南,大分,0,1,0,0,0,1
12,2019/5/17,川崎F,名古屋,1,1,0,1,1,0
12,2019/5/17,広島,鳥栖,0,1,0,0,0,1
12,2019/5/17,浦和,湘南,2,3,2,0,0,3
12,2019/5/18,FC東京,札幌,2,0,0,2,0,0
12,2019/5/18,横浜FM,神戸,4,1,1,3,0,1
12,2019/5/18,磐田,仙台,2,0,2,0,0,0
12,2019/5/18,鹿島,松本,5,0,1,4,0,0
12,2019/5/18,大分,清水,1,1,0,1,1,0
12,2019/5/18,G大阪,C大阪,1,0,0,1,0,0
13,2019/5/25,札幌,G大阪,0,0,0,0,0,0
13,2019/5/25,清水,仙台,4,3,3,1,2,1
13,2019/5/25,C大阪,FC東京,1,0,0,1,0,0
13,2019/5/26,横浜FM,磐田,4,0,1,3,0,0
13,2019/5/26,浦和,広島,0,4,0,0,2,2
13,2019/5/26,鳥栖,鹿島,1,0,0,1,0,0
13,2019/5/26,名古屋,松本,0,1,0,0,1,0
13,2019/5/26,神戸,湘南,4,1,0,4,0,1
13,2019/5/26,大分,川崎F,0,1,0,0,1,0
14,2019/5/31,湘南,横浜FM,1,2,1,0,1,1
14,2019/6/1,札幌,広島,1,0,0,1,0,0,6,7
14,2019/6/1,仙台,名古屋,3,1,1,2,1,0,8,9
14,2019/6/1,FC東京,大分,3,1,2,1,0,1,13,4
14,2019/6/1,磐田,神戸,1,1,0,1,1,0,15,6
14,2019/6/1,鳥栖,C大阪,0,1,0,0,1,0,9,9
14,2019/6/1,松本,清水,1,1,0,1,0,1,7,9
14,2019/6/1,川崎F,浦和,1,1,0,1,0,1,11,8
14,2019/6/1,G大阪,鹿島,1,1,1,0,1,0,6,7
15,2019/6/14,川崎F,札幌,1,1,0,1,1,0,19,3
15,2019/6/14,広島,湘南,2,0,0,2,0,0,19,11
15,2019/6/14,鹿島,C大阪,2,0,0,2,0,0,7,15
